time,V_C,I_L,V_IN
0.000149,-128.833542,7.919649537,-78.65055994
0.0001495,-112.5800412,9.409865986,-66.62784011
0.00015,-94.40568302,10.02165833,-57.26511425
0.0001505,-75.8501769,9.900888788,-53.84274332
0.000151,-58.5384934,8.600688507,-54.69974945
0.0001515,-44.51809845,6.492784688,-59.68923297
0.000152,-34.27047046,4.912311034,-65.31266721
0.0001525,-25.70344951,4.332981819,-69.05269349
0.000153,-18.25784055,3.701228747,-68.27730974
0.0001535,-12.01072718,3.045770101,-65.86695823
0.000154,-6.985902348,2.377576148,-63.2943994
0.0001545,-3.19341432,1.720817965,-60.33228741
0.000155,-0.597622522,1.084973498,-61.48158974
0.0001555,0.812609998,0.439213802,-62.34881433
0.000156,1.033571962,-0.199972488,-61.85620031
0.0001565,0.083914558,-0.823574024,-63.15941177
0.000157,-1.996968395,-1.418506764,-62.14929549
0.0001575,-5.130984324,-1.956613517,-59.91382357
0.000158,-9.202851126,-2.42399819,-58.02591363
0.0001585,-14.07687539,-2.821945876,-53.78872925
0.000159,-19.57030211,-3.093403323,-44.77703821
0.0001595,-25.39505097,-3.174969784,-35.15481698
0.00016,-31.26089134,-3.13561461,-26.33372848
0.0001605,-36.95401909,-2.986389916,-19.88015195
0.000161,-42.23227547,-2.697728894,-15.75487055
0.0001615,-46.89001415,-2.323212484,-11.29141447
0.000162,-50.79725675,-1.882629758,-8.702933506
0.0001625,-53.83953403,-1.385328127,-6.961592831
0.000163,-55.93789911,-0.8708861,-6.118219871
0.0001635,-57.06069837,-0.354564796,-4.433088095
0.000164,-57.22113844,0.172733331,-1.48135785
0.0001645,-56.38382645,0.729357765,3.095196212
0.000165,-54.49540116,1.303294044,6.338440946
0.0001655,-51.55587092,1.870228724,7.765946478
0.000166,-47.60698454,2.398626884,6.568700197
0.0001665,-42.73590442,2.850752366,4.306079934
0.000167,-37.10674505,3.210526219,3.29680208
0.0001675,-30.8888941,3.488432709,3.663244533
0.000168,-24.23038757,3.692866116,2.901203246
0.0001685,-17.26138294,3.828583567,4.286958758
0.000169,-10.09448239,3.90921603,8.898987781
0.0001695,-2.783869494,3.983370932,15.34712557
0.00017,4.633012653,4.023806875,24.47108201
0.0001705,12.12259732,4.064965074,30.86907933
0.000171,19.67924505,4.089092619,32.31972916
0.0001715,27.2325171,4.055278241,29.92117849
0.000172,34.63367952,3.923652216,30.24757147
0.0001725,41.7298035,3.718319339,32.42890638
0.000173,48.40551256,3.469372129,34.496464
0.0001735,54.57541235,3.191254033,36.04344668
0.000174,60.18409063,2.882759426,36.3154484
0.0001745,65.1957273,2.532942807,40.90477002
0.000175,69.56486251,2.188778923,46.17752762
